ERROR 2026-03-30 16:37:48,990 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/CD4046B.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:49,006 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/square.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:49,990 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/square.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:57,905 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/Borrar.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:57,923 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Component Symbols/TCLib//Borrar.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:59,441 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/VCO.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:59,456 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/xor.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:59,460 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/square.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:59,486 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Component Symbols/Digital//xor.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:59,490 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Component Symbols/TC2Lib--LTSPICE-main//sym//TCLib//square.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:59,546 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/VCO.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:59,556 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/xor.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:59,560 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/square.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:59,598 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Component Symbols/Digital//xor.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:37:59,603 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Component Symbols/TC2Lib--LTSPICE-main//sym//TCLib//square.asy api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
ERROR 2026-03-30 16:38:04,996 NE_RS_UNBLDRE: Unable to load application resource file /www/Assets/Skins/Default/CD4046B.svg api\debug\debug.cpp:20 TC2@DESKTOP-GV8580B
